location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
"Switzerland/Wil, SG",47.461458,9.056733,600,1992,1992-04-20,111,,,,
"Switzerland/Wil, SG",47.461458,9.056733,600,1993,1993-04-21,111,,,,
"Switzerland/Wil, SG",47.461458,9.056733,600,1994,1994-03-30,89,,,,
"Switzerland/Wil, SG",47.461458,9.056733,600,1995,1995-04-12,102,,,,
"Switzerland/Wil, SG",47.461458,9.056733,600,1996,1996-04-22,113,,,,
"Switzerland/Wil, SG",47.461458,9.056733,600,1997,1997-04-07,97,,,,
"Switzerland/Wil, SG",47.461458,9.056733,600,1998,1998-04-18,108,,,,
"Switzerland/Wil, SG",47.461458,9.056733,600,1999,1999-04-25,115,,,,
"Switzerland/Wil, SG",47.461458,9.056733,600,2000,2000-04-20,111,,,,
"Switzerland/Wil, SG",47.461458,9.056733,600,2001,2001-04-20,110,,,,
"Switzerland/Wil, SG",47.461458,9.056733,600,2002,2002-04-10,100,,,,
"Switzerland/Wil, SG",47.461458,9.056733,600,2003,2003-04-18,108,,,,
"Switzerland/Wil, SG",47.461458,9.056733,600,2004,2004-04-22,113,,,,
"Switzerland/Wil, SG",47.461458,9.056733,600,2005,2005-04-16,106,,,,
"Switzerland/Wil, SG",47.461458,9.056733,600,2006,2006-04-24,114,,,,
"Switzerland/Wil, SG",47.461458,9.056733,600,2007,2007-04-16,106,,,,
"Switzerland/Wil, SG",47.461458,9.056733,600,2008,2008-05-04,125,,,,
"Switzerland/Wil, SG",47.461458,9.056733,600,2009,2009-04-20,110,,,,
"Switzerland/Wil, SG",47.461458,9.056733,600,2010,2010-04-21,111,,,,
"Switzerland/Wil, SG",47.461458,9.056733,600,2011,2011-04-08,98,,,,
"Switzerland/Wil, SG",47.461458,9.056733,600,2012,2012-04-10,101,,,,
"Switzerland/Wil, SG",47.461458,9.056733,600,2013,2013-04-28,118,,,,
"Switzerland/Wil, SG",47.461458,9.056733,600,2014,2014-04-05,95,,,,
"Switzerland/Wil, SG",47.461458,9.056733,600,2015,2015-04-19,109,,,,
"Switzerland/Wil, SG",47.461458,9.056733,600,2017,2017-04-07,97,,,,
"Switzerland/Wil, SG",47.461458,9.056733,600,2018,2018-04-19,109,,,,
"Switzerland/Wil, SG",47.461458,9.056733,600,2019,2019-04-01,91,,,,
"Switzerland/Wil, SG",47.461458,9.056733,600,2021,2021-04-15,105,,,,
"Switzerland/Wil, SG",47.461458,9.056733,600,2022,2022-04-13,103,,,,
"Switzerland/Wil, SG",47.461458,9.056733,600,2023,2023-04-18,108,,,,
