location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Switzerland/Wildhaus,47.205022,9.352617,1100,1999,1999-05-10,130,,,,
Switzerland/Wildhaus,47.205022,9.352617,1100,2001,2001-05-10,130,,,,
Switzerland/Wildhaus,47.205022,9.352617,1100,2003,2003-05-02,122,,,,
Switzerland/Wildhaus,47.205022,9.352617,1100,2005,2005-05-18,138,,,,
Switzerland/Wildhaus,47.205022,9.352617,1100,2006,2006-05-22,142,,,,
Switzerland/Wildhaus,47.205022,9.352617,1100,2007,2007-04-27,117,,,,
Switzerland/Wildhaus,47.205022,9.352617,1100,2008,2008-05-12,133,,,,
Switzerland/Wildhaus,47.205022,9.352617,1100,2009,2009-05-10,130,,,,
Switzerland/Wildhaus,47.205022,9.352617,1100,2010,2010-05-19,139,,,,
Switzerland/Wildhaus,47.205022,9.352617,1100,2011,2011-05-02,122,,,,
Switzerland/Wildhaus,47.205022,9.352617,1100,2012,2012-05-06,127,,,,
Switzerland/Wildhaus,47.205022,9.352617,1100,2013,2013-05-10,130,,,,
Switzerland/Wildhaus,47.205022,9.352617,1100,2014,2014-05-08,128,,,,
Switzerland/Wildhaus,47.205022,9.352617,1100,2015,2015-05-10,130,,,,
Switzerland/Wildhaus,47.205022,9.352617,1100,2016,2016-05-08,129,,,,
Switzerland/Wildhaus,47.205022,9.352617,1100,2018,2018-04-23,113,,,,
Switzerland/Wildhaus,47.205022,9.352617,1100,2019,2019-05-04,124,,,,
Switzerland/Wildhaus,47.205022,9.352617,1100,2020,2020-04-24,115,,,,
Switzerland/Wildhaus,47.205022,9.352617,1100,2021,2021-05-10,130,,,,
Switzerland/Wildhaus,47.205022,9.352617,1100,2022,2022-05-10,130,,,,
Switzerland/Wildhaus,47.205022,9.352617,1100,2023,2023-05-15,135,,,,
