location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Switzerland/Wiliberg,47.279603,8.027331,650,1952,1952-04-20,111,,,,
Switzerland/Wiliberg,47.279603,8.027331,650,1953,1953-04-20,110,,,,
Switzerland/Wiliberg,47.279603,8.027331,650,1954,1954-04-30,120,,,,
Switzerland/Wiliberg,47.279603,8.027331,650,1955,1955-04-30,120,,,,
Switzerland/Wiliberg,47.279603,8.027331,650,1956,1956-05-07,128,,,,
Switzerland/Wiliberg,47.279603,8.027331,650,1957,1957-04-12,102,,,,
Switzerland/Wiliberg,47.279603,8.027331,650,1958,1958-05-08,128,,,,
Switzerland/Wiliberg,47.279603,8.027331,650,1959,1959-04-15,105,,,,
Switzerland/Wiliberg,47.279603,8.027331,650,1960,1960-04-15,106,,,,
Switzerland/Wiliberg,47.279603,8.027331,650,1961,1961-04-06,96,,,,
Switzerland/Wiliberg,47.279603,8.027331,650,1962,1962-05-05,125,,,,
Switzerland/Wiliberg,47.279603,8.027331,650,1963,1963-05-01,121,,,,
Switzerland/Wiliberg,47.279603,8.027331,650,1964,1964-04-28,119,,,,
Switzerland/Wiliberg,47.279603,8.027331,650,1965,1965-05-11,131,,,,
Switzerland/Wiliberg,47.279603,8.027331,650,1966,1966-04-24,114,,,,
Switzerland/Wiliberg,47.279603,8.027331,650,1967,1967-05-07,127,,,,
Switzerland/Wiliberg,47.279603,8.027331,650,1968,1968-04-21,112,,,,
Switzerland/Wiliberg,47.279603,8.027331,650,1969,1969-05-03,123,,,,
Switzerland/Wiliberg,47.279603,8.027331,650,1970,1970-05-14,134,,,,
Switzerland/Wiliberg,47.279603,8.027331,650,1971,1971-04-22,112,,,,
Switzerland/Wiliberg,47.279603,8.027331,650,1972,1972-04-26,117,,,,
Switzerland/Wiliberg,47.279603,8.027331,650,1973,1973-05-09,129,,,,
Switzerland/Wiliberg,47.279603,8.027331,650,1974,1974-04-12,102,,,,
Switzerland/Wiliberg,47.279603,8.027331,650,1975,1975-05-05,125,,,,
Switzerland/Wiliberg,47.279603,8.027331,650,1976,1976-04-27,118,,,,
Switzerland/Wiliberg,47.279603,8.027331,650,1977,1977-04-26,116,,,,
Switzerland/Wiliberg,47.279603,8.027331,650,1978,1978-05-04,124,,,,
Switzerland/Wiliberg,47.279603,8.027331,650,1979,1979-05-16,136,,,,
Switzerland/Wiliberg,47.279603,8.027331,650,1980,1980-05-10,131,,,,
Switzerland/Wiliberg,47.279603,8.027331,650,1981,1981-04-14,104,,,,
Switzerland/Wiliberg,47.279603,8.027331,650,1982,1982-05-07,127,,,,
Switzerland/Wiliberg,47.279603,8.027331,650,1983,1983-05-02,122,,,,
Switzerland/Wiliberg,47.279603,8.027331,650,1984,1984-05-06,127,,,,
Switzerland/Wiliberg,47.279603,8.027331,650,1985,1985-05-13,133,,,,
Switzerland/Wiliberg,47.279603,8.027331,650,1986,1986-05-09,129,,,,
Switzerland/Wiliberg,47.279603,8.027331,650,1987,1987-04-30,120,,,,
Switzerland/Wiliberg,47.279603,8.027331,650,1988,1988-05-10,131,,,,
Switzerland/Wiliberg,47.279603,8.027331,650,1989,1989-04-14,104,,,,
Switzerland/Wiliberg,47.279603,8.027331,650,1990,1990-04-03,93,,,,
Switzerland/Wiliberg,47.279603,8.027331,650,1991,1991-04-20,110,,,,
Switzerland/Wiliberg,47.279603,8.027331,650,1992,1992-04-26,117,,,,
Switzerland/Wiliberg,47.279603,8.027331,650,1993,1993-04-26,116,,,,
Switzerland/Wiliberg,47.279603,8.027331,650,1994,1994-04-24,114,,,,
Switzerland/Wiliberg,47.279603,8.027331,650,1995,1995-04-29,119,,,,
Switzerland/Wiliberg,47.279603,8.027331,650,1996,1996-04-27,118,,,,
Switzerland/Wiliberg,47.279603,8.027331,650,1997,1997-04-10,100,,,,
Switzerland/Wiliberg,47.279603,8.027331,650,1998,1998-04-26,116,,,,
Switzerland/Wiliberg,47.279603,8.027331,650,1999,1999-04-30,120,,,,
Switzerland/Wiliberg,47.279603,8.027331,650,2000,2000-04-23,114,,,,
Switzerland/Wiliberg,47.279603,8.027331,650,2001,2001-05-01,121,,,,
Switzerland/Wiliberg,47.279603,8.027331,650,2004,2004-04-15,106,,,,
Switzerland/Wiliberg,47.279603,8.027331,650,2005,2005-04-30,120,,,,
Switzerland/Wiliberg,47.279603,8.027331,650,2006,2006-04-28,118,,,,
Switzerland/Wiliberg,47.279603,8.027331,650,2007,2007-04-15,105,,,,
Switzerland/Wiliberg,47.279603,8.027331,650,2008,2008-04-27,118,,,,
Switzerland/Wiliberg,47.279603,8.027331,650,2009,2009-04-15,105,,,,
Switzerland/Wiliberg,47.279603,8.027331,650,2010,2010-04-22,112,,,,
Switzerland/Wiliberg,47.279603,8.027331,650,2011,2011-04-10,100,,,,
Switzerland/Wiliberg,47.279603,8.027331,650,2012,2012-04-12,103,,,,
Switzerland/Wiliberg,47.279603,8.027331,650,2013,2013-04-30,120,,,,
Switzerland/Wiliberg,47.279603,8.027331,650,2014,2014-04-13,103,,,,
Switzerland/Wiliberg,47.279603,8.027331,650,2015,2015-04-18,108,,,,
Switzerland/Wiliberg,47.279603,8.027331,650,2016,2016-04-20,111,,,,
Switzerland/Wiliberg,47.279603,8.027331,650,2017,2017-04-07,97,,,,
Switzerland/Wiliberg,47.279603,8.027331,650,2018,2018-04-20,110,,,,
Switzerland/Wiliberg,47.279603,8.027331,650,2019,2019-04-17,107,,,,
Switzerland/Wiliberg,47.279603,8.027331,650,2020,2020-04-12,103,,,,
Switzerland/Wiliberg,47.279603,8.027331,650,2021,2021-04-21,111,,,,
Switzerland/Wiliberg,47.279603,8.027331,650,2022,2022-04-14,104,,,,
Switzerland/Wiliberg,47.279603,8.027331,650,2023,2023-04-22,112,,,,
