location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Switzerland/Winterthur,47.474228,8.795444,580,1966,1966-04-28,118,,,,
Switzerland/Winterthur,47.474228,8.795444,580,1967,1967-04-30,120,,,,
Switzerland/Winterthur,47.474228,8.795444,580,1969,1969-05-04,124,,,,
Switzerland/Winterthur,47.474228,8.795444,580,1992,1992-04-24,115,,,,
Switzerland/Winterthur,47.474228,8.795444,580,1993,1993-04-21,111,,,,
Switzerland/Winterthur,47.474228,8.795444,580,1994,1994-04-14,104,,,,
Switzerland/Winterthur,47.474228,8.795444,580,1995,1995-04-24,114,,,,
Switzerland/Winterthur,47.474228,8.795444,580,1996,1996-04-26,117,,,,
Switzerland/Winterthur,47.474228,8.795444,580,1997,1997-04-09,99,,,,
Switzerland/Winterthur,47.474228,8.795444,580,1998,1998-04-18,108,,,,
Switzerland/Winterthur,47.474228,8.795444,580,1999,1999-04-25,115,,,,
Switzerland/Winterthur,47.474228,8.795444,580,2000,2000-04-22,113,,,,
Switzerland/Winterthur,47.474228,8.795444,580,2001,2001-04-24,114,,,,
Switzerland/Winterthur,47.474228,8.795444,580,2002,2002-04-12,102,,,,
Switzerland/Winterthur,47.474228,8.795444,580,2003,2003-04-18,108,,,,
Switzerland/Winterthur,47.474228,8.795444,580,2004,2004-04-23,114,,,,
Switzerland/Winterthur,47.474228,8.795444,580,2005,2005-04-17,107,,,,
Switzerland/Winterthur,47.474228,8.795444,580,2006,2006-04-28,118,,,,
Switzerland/Winterthur,47.474228,8.795444,580,2007,2007-04-17,107,,,,
Switzerland/Winterthur,47.474228,8.795444,580,2008,2008-04-24,115,,,,
Switzerland/Winterthur,47.474228,8.795444,580,2009,2009-04-17,107,,,,
Switzerland/Winterthur,47.474228,8.795444,580,2010,2010-04-24,114,,,,
Switzerland/Winterthur,47.474228,8.795444,580,2011,2011-04-08,98,,,,
Switzerland/Winterthur,47.474228,8.795444,580,2012,2012-04-11,102,,,,
Switzerland/Winterthur,47.474228,8.795444,580,2013,2013-04-30,120,,,,
Switzerland/Winterthur,47.474228,8.795444,580,2014,2014-04-12,102,,,,
Switzerland/Winterthur,47.474228,8.795444,580,2015,2015-04-17,107,,,,
Switzerland/Winterthur,47.474228,8.795444,580,2016,2016-04-21,112,,,,
Switzerland/Winterthur,47.474228,8.795444,580,2017,2017-04-09,99,,,,
Switzerland/Winterthur,47.474228,8.795444,580,2018,2018-04-19,109,,,,
Switzerland/Winterthur,47.474228,8.795444,580,2019,2019-04-12,102,,,,
Switzerland/Winterthur,47.474228,8.795444,580,2020,2020-04-09,100,,,,
Switzerland/Winterthur,47.474228,8.795444,580,2021,2021-04-14,104,,,,
Switzerland/Winterthur,47.474228,8.795444,580,2023,2023-04-19,109,,,,
