location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Switzerland/Wolhusen,47.064342,8.071028,580,1992,1992-04-28,119,,,,
Switzerland/Wolhusen,47.064342,8.071028,580,1993,1993-04-24,114,,,,
Switzerland/Wolhusen,47.064342,8.071028,580,1994,1994-04-22,112,,,,
Switzerland/Wolhusen,47.064342,8.071028,580,1995,1995-05-01,121,,,,
Switzerland/Wolhusen,47.064342,8.071028,580,1996,1996-05-03,124,,,,
Switzerland/Wolhusen,47.064342,8.071028,580,1997,1997-04-20,110,,,,
Switzerland/Wolhusen,47.064342,8.071028,580,1998,1998-04-28,118,,,,
Switzerland/Wolhusen,47.064342,8.071028,580,1999,1999-04-29,119,,,,
Switzerland/Wolhusen,47.064342,8.071028,580,2000,2000-04-27,118,,,,
Switzerland/Wolhusen,47.064342,8.071028,580,2001,2001-04-30,120,,,,
Switzerland/Wolhusen,47.064342,8.071028,580,2002,2002-04-26,116,,,,
Switzerland/Wolhusen,47.064342,8.071028,580,2003,2003-04-23,113,,,,
Switzerland/Wolhusen,47.064342,8.071028,580,2004,2004-04-28,119,,,,
Switzerland/Wolhusen,47.064342,8.071028,580,2005,2005-04-28,118,,,,
Switzerland/Wolhusen,47.064342,8.071028,580,2006,2006-05-02,122,,,,
Switzerland/Wolhusen,47.064342,8.071028,580,2007,2007-04-15,105,,,,
Switzerland/Wolhusen,47.064342,8.071028,580,2008,2008-04-26,117,,,,
Switzerland/Wolhusen,47.064342,8.071028,580,2009,2009-04-21,111,,,,
Switzerland/Wolhusen,47.064342,8.071028,580,2010,2010-04-25,115,,,,
Switzerland/Wolhusen,47.064342,8.071028,580,2011,2011-04-16,106,,,,
Switzerland/Wolhusen,47.064342,8.071028,580,2012,2012-04-22,113,,,,
Switzerland/Wolhusen,47.064342,8.071028,580,2013,2013-05-01,121,,,,
Switzerland/Wolhusen,47.064342,8.071028,580,2014,2014-04-13,103,,,,
Switzerland/Wolhusen,47.064342,8.071028,580,2015,2015-04-21,111,,,,
Switzerland/Wolhusen,47.064342,8.071028,580,2016,2016-04-20,111,,,,
Switzerland/Wolhusen,47.064342,8.071028,580,2017,2017-04-10,100,,,,
Switzerland/Wolhusen,47.064342,8.071028,580,2018,2018-04-21,111,,,,
Switzerland/Wolhusen,47.064342,8.071028,580,2019,2019-04-18,108,,,,
Switzerland/Wolhusen,47.064342,8.071028,580,2020,2020-04-11,102,,,,
Switzerland/Wolhusen,47.064342,8.071028,580,2021,2021-04-20,110,,,,
Switzerland/Wolhusen,47.064342,8.071028,580,2022,2022-04-15,105,,,,
Switzerland/Wolhusen,47.064342,8.071028,580,2023,2023-04-24,114,,,,
