location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Switzerland/Worb BE,46.924433,7.577772,600,1986,1986-05-04,124,,,,
Switzerland/Worb BE,46.924433,7.577772,600,1987,1987-04-27,117,,,,
Switzerland/Worb BE,46.924433,7.577772,600,1988,1988-04-23,114,,,,
Switzerland/Worb BE,46.924433,7.577772,600,1989,1989-04-04,94,,,,
Switzerland/Worb BE,46.924433,7.577772,600,1990,1990-03-31,90,,,,
Switzerland/Worb BE,46.924433,7.577772,600,1991,1991-04-12,102,,,,
Switzerland/Worb BE,46.924433,7.577772,600,1992,1992-04-21,112,,,,
Switzerland/Worb BE,46.924433,7.577772,600,1993,1993-04-25,115,,,,
Switzerland/Worb BE,46.924433,7.577772,600,1994,1994-03-31,90,,,,
Switzerland/Worb BE,46.924433,7.577772,600,1995,1995-04-26,116,,,,
Switzerland/Worb BE,46.924433,7.577772,600,1996,1996-04-25,116,,,,
Switzerland/Worb BE,46.924433,7.577772,600,1997,1997-04-04,94,,,,
Switzerland/Worb BE,46.924433,7.577772,600,1998,1998-04-20,110,,,,
Switzerland/Worb BE,46.924433,7.577772,600,1999,1999-04-23,113,,,,
Switzerland/Worb BE,46.924433,7.577772,600,2000,2000-04-25,116,,,,
Switzerland/Worb BE,46.924433,7.577772,600,2001,2001-04-30,120,,,,
Switzerland/Worb BE,46.924433,7.577772,600,2002,2002-04-10,100,,,,
Switzerland/Worb BE,46.924433,7.577772,600,2003,2003-04-16,106,,,,
Switzerland/Worb BE,46.924433,7.577772,600,2004,2004-04-21,112,,,,
Switzerland/Worb BE,46.924433,7.577772,600,2005,2005-04-22,112,,,,
Switzerland/Worb BE,46.924433,7.577772,600,2006,2006-04-24,114,,,,
Switzerland/Worb BE,46.924433,7.577772,600,2007,2007-04-16,106,,,,
Switzerland/Worb BE,46.924433,7.577772,600,2008,2008-04-29,120,,,,
Switzerland/Worb BE,46.924433,7.577772,600,2009,2009-04-16,106,,,,
Switzerland/Worb BE,46.924433,7.577772,600,2010,2010-04-21,111,,,,
Switzerland/Worb BE,46.924433,7.577772,600,2011,2011-04-02,92,,,,
Switzerland/Worb BE,46.924433,7.577772,600,2012,2012-04-12,103,,,,
Switzerland/Worb BE,46.924433,7.577772,600,2013,2013-04-25,115,,,,
Switzerland/Worb BE,46.924433,7.577772,600,2014,2014-04-14,104,,,,
Switzerland/Worb BE,46.924433,7.577772,600,2015,2015-04-19,109,,,,
Switzerland/Worb BE,46.924433,7.577772,600,2016,2016-04-22,113,,,,
Switzerland/Worb BE,46.924433,7.577772,600,2017,2017-04-04,94,,,,
Switzerland/Worb BE,46.924433,7.577772,600,2018,2018-04-17,107,,,,
Switzerland/Worb BE,46.924433,7.577772,600,2019,2019-04-21,111,,,,
Switzerland/Worb BE,46.924433,7.577772,600,2020,2020-04-11,102,,,,
Switzerland/Worb BE,46.924433,7.577772,600,2021,2021-04-09,99,,,,
Switzerland/Worb BE,46.924433,7.577772,600,2022,2022-04-12,102,,,,
Switzerland/Worb BE,46.924433,7.577772,600,2023,2023-04-15,105,,,,
