location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Switzerland/Wynau,47.256317,7.808556,450,1970,1970-05-17,137,,,,
Switzerland/Wynau,47.256317,7.808556,450,1972,1972-05-01,122,,,,
Switzerland/Wynau,47.256317,7.808556,450,1973,1973-05-05,125,,,,
Switzerland/Wynau,47.256317,7.808556,450,1974,1974-04-08,98,,,,
Switzerland/Wynau,47.256317,7.808556,450,1975,1975-04-26,116,,,,
Switzerland/Wynau,47.256317,7.808556,450,1976,1976-04-18,109,,,,
Switzerland/Wynau,47.256317,7.808556,450,1977,1977-04-08,98,,,,
Switzerland/Wynau,47.256317,7.808556,450,1978,1978-04-30,120,,,,
Switzerland/Wynau,47.256317,7.808556,450,1979,1979-04-29,119,,,,
Switzerland/Wynau,47.256317,7.808556,450,1980,1980-04-30,121,,,,
Switzerland/Wynau,47.256317,7.808556,450,1981,1981-04-12,102,,,,
Switzerland/Wynau,47.256317,7.808556,450,1982,1982-04-29,119,,,,
Switzerland/Wynau,47.256317,7.808556,450,1983,1983-04-27,117,,,,
Switzerland/Wynau,47.256317,7.808556,450,1984,1984-05-04,125,,,,
Switzerland/Wynau,47.256317,7.808556,450,1985,1985-04-24,114,,,,
Switzerland/Wynau,47.256317,7.808556,450,1986,1986-05-05,125,,,,
Switzerland/Wynau,47.256317,7.808556,450,1987,1987-04-27,117,,,,
Switzerland/Wynau,47.256317,7.808556,450,1988,1988-04-23,114,,,,
Switzerland/Wynau,47.256317,7.808556,450,1989,1989-04-10,100,,,,
Switzerland/Wynau,47.256317,7.808556,450,1990,1990-04-10,100,,,,
Switzerland/Wynau,47.256317,7.808556,450,1991,1991-04-14,104,,,,
Switzerland/Wynau,47.256317,7.808556,450,1992,1992-04-23,114,,,,
Switzerland/Wynau,47.256317,7.808556,450,1993,1993-04-22,112,,,,
Switzerland/Wynau,47.256317,7.808556,450,1994,1994-04-17,107,,,,
Switzerland/Wynau,47.256317,7.808556,450,1995,1995-04-23,113,,,,
Switzerland/Wynau,47.256317,7.808556,450,1996,1996-04-23,114,,,,
Switzerland/Wynau,47.256317,7.808556,450,1997,1997-04-09,99,,,,
Switzerland/Wynau,47.256317,7.808556,450,1998,1998-04-23,113,,,,
Switzerland/Wynau,47.256317,7.808556,450,1999,1999-05-01,121,,,,
Switzerland/Wynau,47.256317,7.808556,450,2000,2000-04-21,112,,,,
Switzerland/Wynau,47.256317,7.808556,450,2001,2001-04-27,117,,,,
Switzerland/Wynau,47.256317,7.808556,450,2002,2002-04-18,108,,,,
Switzerland/Wynau,47.256317,7.808556,450,2003,2003-04-16,106,,,,
Switzerland/Wynau,47.256317,7.808556,450,2004,2004-04-22,113,,,,
Switzerland/Wynau,47.256317,7.808556,450,2005,2005-04-22,112,,,,
Switzerland/Wynau,47.256317,7.808556,450,2006,2006-04-25,115,,,,
Switzerland/Wynau,47.256317,7.808556,450,2007,2007-04-14,104,,,,
Switzerland/Wynau,47.256317,7.808556,450,2008,2008-04-30,121,,,,
Switzerland/Wynau,47.256317,7.808556,450,2009,2009-04-15,105,,,,
Switzerland/Wynau,47.256317,7.808556,450,2010,2010-04-25,115,,,,
Switzerland/Wynau,47.256317,7.808556,450,2011,2011-04-08,98,,,,
Switzerland/Wynau,47.256317,7.808556,450,2012,2012-04-18,109,,,,
Switzerland/Wynau,47.256317,7.808556,450,2013,2013-04-26,116,,,,
Switzerland/Wynau,47.256317,7.808556,450,2014,2014-04-12,102,,,,
Switzerland/Wynau,47.256317,7.808556,450,2015,2015-04-20,110,,,,
Switzerland/Wynau,47.256317,7.808556,450,2016,2016-04-21,112,,,,
Switzerland/Wynau,47.256317,7.808556,450,2017,2017-04-06,96,,,,
Switzerland/Wynau,47.256317,7.808556,450,2018,2018-04-18,108,,,,
Switzerland/Wynau,47.256317,7.808556,450,2019,2019-04-17,107,,,,
Switzerland/Wynau,47.256317,7.808556,450,2020,2020-04-12,103,,,,
Switzerland/Wynau,47.256317,7.808556,450,2021,2021-04-24,114,,,,
Switzerland/Wynau,47.256317,7.808556,450,2022,2022-04-15,105,,,,
Switzerland/Wynau,47.256317,7.808556,450,2023,2023-04-23,113,,,,
