location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Switzerland/Wädenswil,47.223239,8.679778,480,1956,1956-04-25,116,,,,
Switzerland/Wädenswil,47.223239,8.679778,480,1957,1957-03-28,87,,,,
Switzerland/Wädenswil,47.223239,8.679778,480,1958,1958-04-24,114,,,,
Switzerland/Wädenswil,47.223239,8.679778,480,1959,1959-04-02,92,,,,
Switzerland/Wädenswil,47.223239,8.679778,480,1969,1969-04-28,118,,,,
Switzerland/Wädenswil,47.223239,8.679778,480,1970,1970-05-10,130,,,,
Switzerland/Wädenswil,47.223239,8.679778,480,1971,1971-04-22,112,,,,
Switzerland/Wädenswil,47.223239,8.679778,480,1972,1972-04-07,98,,,,
Switzerland/Wädenswil,47.223239,8.679778,480,1973,1973-05-05,125,,,,
Switzerland/Wädenswil,47.223239,8.679778,480,1974,1974-04-02,92,,,,
Switzerland/Wädenswil,47.223239,8.679778,480,1975,1975-04-23,113,,,,
Switzerland/Wädenswil,47.223239,8.679778,480,1976,1976-04-16,107,,,,
Switzerland/Wädenswil,47.223239,8.679778,480,1977,1977-04-18,108,,,,
Switzerland/Wädenswil,47.223239,8.679778,480,1978,1978-04-25,115,,,,
Switzerland/Wädenswil,47.223239,8.679778,480,1979,1979-05-04,124,,,,
Switzerland/Wädenswil,47.223239,8.679778,480,1980,1980-05-02,123,,,,
Switzerland/Wädenswil,47.223239,8.679778,480,1981,1981-04-12,102,,,,
Switzerland/Wädenswil,47.223239,8.679778,480,1982,1982-05-02,122,,,,
Switzerland/Wädenswil,47.223239,8.679778,480,1983,1983-04-20,110,,,,
Switzerland/Wädenswil,47.223239,8.679778,480,1984,1984-04-26,117,,,,
Switzerland/Wädenswil,47.223239,8.679778,480,1985,1985-04-25,115,,,,
Switzerland/Wädenswil,47.223239,8.679778,480,1986,1986-05-02,122,,,,
Switzerland/Wädenswil,47.223239,8.679778,480,1987,1987-04-24,114,,,,
Switzerland/Wädenswil,47.223239,8.679778,480,1988,1988-04-24,115,,,,
Switzerland/Wädenswil,47.223239,8.679778,480,1989,1989-03-30,89,,,,
Switzerland/Wädenswil,47.223239,8.679778,480,1990,1990-03-21,80,,,,
Switzerland/Wädenswil,47.223239,8.679778,480,1991,1991-04-12,102,,,,
Switzerland/Wädenswil,47.223239,8.679778,480,1992,1992-04-22,113,,,,
Switzerland/Wädenswil,47.223239,8.679778,480,1993,1993-04-15,105,,,,
Switzerland/Wädenswil,47.223239,8.679778,480,1994,1994-03-30,89,,,,
Switzerland/Wädenswil,47.223239,8.679778,480,1995,1995-04-07,97,,,,
Switzerland/Wädenswil,47.223239,8.679778,480,1996,1996-04-21,112,,,,
Switzerland/Wädenswil,47.223239,8.679778,480,1997,1997-04-04,94,,,,
Switzerland/Wädenswil,47.223239,8.679778,480,1998,1998-04-18,108,,,,
Switzerland/Wädenswil,47.223239,8.679778,480,1999,1999-04-19,109,,,,
Switzerland/Wädenswil,47.223239,8.679778,480,2000,2000-04-20,111,,,,
Switzerland/Wädenswil,47.223239,8.679778,480,2001,2001-04-11,101,,,,
Switzerland/Wädenswil,47.223239,8.679778,480,2002,2002-04-02,92,,,,
Switzerland/Wädenswil,47.223239,8.679778,480,2003,2003-04-15,105,,,,
Switzerland/Wädenswil,47.223239,8.679778,480,2004,2004-04-16,107,,,,
Switzerland/Wädenswil,47.223239,8.679778,480,2005,2005-04-15,105,,,,
Switzerland/Wädenswil,47.223239,8.679778,480,2006,2006-04-24,114,,,,
Switzerland/Wädenswil,47.223239,8.679778,480,2007,2007-04-14,104,,,,
Switzerland/Wädenswil,47.223239,8.679778,480,2008,2008-04-17,108,,,,
Switzerland/Wädenswil,47.223239,8.679778,480,2009,2009-04-14,104,,,,
Switzerland/Wädenswil,47.223239,8.679778,480,2010,2010-04-16,106,,,,
Switzerland/Wädenswil,47.223239,8.679778,480,2011,2011-04-09,99,,,,
Switzerland/Wädenswil,47.223239,8.679778,480,2012,2012-04-08,99,,,,
Switzerland/Wädenswil,47.223239,8.679778,480,2013,2013-05-03,123,,,,
Switzerland/Wädenswil,47.223239,8.679778,480,2014,2014-04-07,97,,,,
Switzerland/Wädenswil,47.223239,8.679778,480,2015,2015-04-17,107,,,,
Switzerland/Wädenswil,47.223239,8.679778,480,2016,2016-04-09,100,,,,
Switzerland/Wädenswil,47.223239,8.679778,480,2017,2017-04-03,93,,,,
Switzerland/Wädenswil,47.223239,8.679778,480,2019,2019-04-18,108,,,,
Switzerland/Wädenswil,47.223239,8.679778,480,2020,2020-04-05,96,,,,
Switzerland/Wädenswil,47.223239,8.679778,480,2021,2021-04-14,104,,,,
Switzerland/Wädenswil,47.223239,8.679778,480,2022,2022-04-01,91,,,,
Switzerland/Wädenswil,47.223239,8.679778,480,2023,2023-04-12,102,,,,
