location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Switzerland/Zizers,46.931325,9.566175,600,1971,1971-04-17,107,,,,
Switzerland/Zizers,46.931325,9.566175,600,1972,1972-03-28,88,,,,
Switzerland/Zizers,46.931325,9.566175,600,1973,1973-05-05,125,,,,
Switzerland/Zizers,46.931325,9.566175,600,1974,1974-04-01,91,,,,
Switzerland/Zizers,46.931325,9.566175,600,1975,1975-04-20,110,,,,
Switzerland/Zizers,46.931325,9.566175,600,1976,1976-04-17,108,,,,
Switzerland/Zizers,46.931325,9.566175,600,1977,1977-03-26,85,,,,
Switzerland/Zizers,46.931325,9.566175,600,1978,1978-04-24,114,,,,
Switzerland/Zizers,46.931325,9.566175,600,1979,1979-04-16,106,,,,
Switzerland/Zizers,46.931325,9.566175,600,1980,1980-04-17,108,,,,
Switzerland/Zizers,46.931325,9.566175,600,1981,1981-04-09,99,,,,
Switzerland/Zizers,46.931325,9.566175,600,1982,1982-04-18,108,,,,
Switzerland/Zizers,46.931325,9.566175,600,1983,1983-04-23,113,,,,
Switzerland/Zizers,46.931325,9.566175,600,1984,1984-04-24,115,,,,
Switzerland/Zizers,46.931325,9.566175,600,1985,1985-04-20,110,,,,
Switzerland/Zizers,46.931325,9.566175,600,1986,1986-04-28,118,,,,
Switzerland/Zizers,46.931325,9.566175,600,1987,1987-04-25,115,,,,
Switzerland/Zizers,46.931325,9.566175,600,1988,1988-04-28,119,,,,
Switzerland/Zizers,46.931325,9.566175,600,1989,1989-04-08,98,,,,
Switzerland/Zizers,46.931325,9.566175,600,1990,1990-03-24,83,,,,
Switzerland/Zizers,46.931325,9.566175,600,1991,1991-04-08,98,,,,
Switzerland/Zizers,46.931325,9.566175,600,1992,1992-04-22,113,,,,
Switzerland/Zizers,46.931325,9.566175,600,1993,1993-04-22,112,,,,
Switzerland/Zizers,46.931325,9.566175,600,1994,1994-03-28,87,,,,
Switzerland/Zizers,46.931325,9.566175,600,1995,1995-04-12,102,,,,
Switzerland/Zizers,46.931325,9.566175,600,1996,1996-04-23,114,,,,
Switzerland/Zizers,46.931325,9.566175,600,1997,1997-04-03,93,,,,
Switzerland/Zizers,46.931325,9.566175,600,1998,1998-04-08,98,,,,
Switzerland/Zizers,46.931325,9.566175,600,1999,1999-04-25,115,,,,
Switzerland/Zizers,46.931325,9.566175,600,2000,2000-04-17,108,,,,
Switzerland/Zizers,46.931325,9.566175,600,2001,2001-04-02,92,,,,
Switzerland/Zizers,46.931325,9.566175,600,2002,2002-04-02,92,,,,
Switzerland/Zizers,46.931325,9.566175,600,2003,2003-04-14,104,,,,
Switzerland/Zizers,46.931325,9.566175,600,2004,2004-04-14,105,,,,
Switzerland/Zizers,46.931325,9.566175,600,2005,2005-04-12,102,,,,
Switzerland/Zizers,46.931325,9.566175,600,2006,2006-04-22,112,,,,
Switzerland/Zizers,46.931325,9.566175,600,2007,2007-04-10,100,,,,
Switzerland/Zizers,46.931325,9.566175,600,2008,2008-04-10,101,,,,
Switzerland/Zizers,46.931325,9.566175,600,2009,2009-04-12,102,,,,
Switzerland/Zizers,46.931325,9.566175,600,2010,2010-04-10,100,,,,
Switzerland/Zizers,46.931325,9.566175,600,2011,2011-04-03,93,,,,
Switzerland/Zizers,46.931325,9.566175,600,2012,2012-04-03,94,,,,
Switzerland/Zizers,46.931325,9.566175,600,2013,2013-04-20,110,,,,
Switzerland/Zizers,46.931325,9.566175,600,2014,2014-04-02,92,,,,
Switzerland/Zizers,46.931325,9.566175,600,2015,2015-04-16,106,,,,
Switzerland/Zizers,46.931325,9.566175,600,2017,2017-03-29,88,,,,
Switzerland/Zizers,46.931325,9.566175,600,2018,2018-04-07,97,,,,
Switzerland/Zizers,46.931325,9.566175,600,2019,2019-04-06,96,,,,
Switzerland/Zizers,46.931325,9.566175,600,2020,2020-04-02,93,,,,
Switzerland/Zizers,46.931325,9.566175,600,2021,2021-03-29,88,,,,
Switzerland/Zizers,46.931325,9.566175,600,2022,2022-03-30,89,,,,
Switzerland/Zizers,46.931325,9.566175,600,2023,2023-04-13,103,,,,
