location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Switzerland/Zofingen,47.291794,7.941003,440,1951,1951-04-15,105,1.97,27.1,90.0,253.0
Switzerland/Zofingen,47.291794,7.941003,440,1952,1952-04-23,114,0.85,30.5,90.0,266.0
Switzerland/Zofingen,47.291794,7.941003,440,1953,1953-04-18,108,-0.17,51.5,89.0,118.2
Switzerland/Zofingen,47.291794,7.941003,440,1954,1954-04-24,114,0.19,47.9,87.0,176.5
Switzerland/Zofingen,47.291794,7.941003,440,1955,1955-04-20,110,0.93,44.6,86.0,330.3
Switzerland/Zofingen,47.291794,7.941003,440,1956,1956-04-20,111,-0.92,44.6,88.0,159.2
Switzerland/Zofingen,47.291794,7.941003,440,1958,1958-05-02,122,0.8,34.5,85.0,348.4
Switzerland/Zofingen,47.291794,7.941003,440,1959,1959-04-07,97,2.53,85.0,90.0,227.3
Switzerland/Zofingen,47.291794,7.941003,440,1960,1960-04-10,101,2.34,72.0,85.0,241.6
Switzerland/Zofingen,47.291794,7.941003,440,1961,1961-04-05,95,3.57,91.6,84.0,215.1
Switzerland/Zofingen,47.291794,7.941003,440,1962,1962-05-05,125,0.92,16.3,82.0,300.5
Switzerland/Zofingen,47.291794,7.941003,440,1963,1963-05-03,123,-2.9,2.6,90.0,179.4
Switzerland/Zofingen,47.291794,7.941003,440,1964,1964-04-27,118,1.15,17.0,89.0,223.9
Switzerland/Zofingen,47.291794,7.941003,440,1965,1965-05-10,130,0.26,35.3,90.0,229.7
Switzerland/Zofingen,47.291794,7.941003,440,1966,1966-04-23,113,2.01,41.8,79.0,259.7
Switzerland/Zofingen,47.291794,7.941003,440,1969,1969-05-01,121,1.06,21.9,90.0,227.5
Switzerland/Zofingen,47.291794,7.941003,440,1970,1970-05-08,128,0.33,7.0,90.0,401.1
Switzerland/Zofingen,47.291794,7.941003,440,1971,1971-04-24,114,-0.25,2.8,89.0,174.6
Switzerland/Zofingen,47.291794,7.941003,440,1972,1972-04-27,118,3.51,75.9,90.0,134.1
Switzerland/Zofingen,47.291794,7.941003,440,1973,1973-05-05,125,0.53,21.7,90.0,157.2
Switzerland/Zofingen,47.291794,7.941003,440,1974,1974-04-08,98,4.38,107.8,86.0,207.5
Switzerland/Zofingen,47.291794,7.941003,440,1975,1975-04-25,115,3.15,26.3,86.0,207.0
Switzerland/Zofingen,47.291794,7.941003,440,1976,1976-04-18,109,2.31,37.4,89.0,158.0
Switzerland/Zofingen,47.291794,7.941003,440,1977,1977-04-06,96,3.66,100.8,90.0,353.9
Switzerland/Zofingen,47.291794,7.941003,440,1978,1978-05-03,123,1.5,35.2,89.0,336.4
Switzerland/Zofingen,47.291794,7.941003,440,1979,1979-05-01,121,1.14,32.2,88.0,334.4
Switzerland/Zofingen,47.291794,7.941003,440,1980,1980-05-01,122,2.66,43.2,81.0,239.5
Switzerland/Zofingen,47.291794,7.941003,440,1981,1981-04-15,105,1.64,90.6,90.0,289.0
Switzerland/Zofingen,47.291794,7.941003,440,1982,1982-05-03,123,2.52,25.1,89.0,275.6
Switzerland/Zofingen,47.291794,7.941003,440,1983,1983-04-24,114,2.8,68.9,79.0,245.9
Switzerland/Zofingen,47.291794,7.941003,440,1984,1984-04-29,120,1.45,24.1,88.0,261.2
Switzerland/Zofingen,47.291794,7.941003,440,1985,1985-04-25,115,-0.51,24.0,87.0,205.7
Switzerland/Zofingen,47.291794,7.941003,440,1986,1986-05-07,127,0.36,29.6,89.0,264.9
Switzerland/Zofingen,47.291794,7.941003,440,1987,1987-04-27,117,0.17,30.4,87.0,199.3
Switzerland/Zofingen,47.291794,7.941003,440,1989,1989-04-09,99,4.8,118.1,84.0,166.8
Switzerland/Zofingen,47.291794,7.941003,440,1991,1991-04-14,104,3.12,113.5,82.0,161.6
Switzerland/Zofingen,47.291794,7.941003,440,1992,1992-04-21,112,3.19,68.0,84.0,190.1
Switzerland/Zofingen,47.291794,7.941003,440,1993,1993-04-24,114,3.38,82.7,83.0,104.0
Switzerland/Zofingen,47.291794,7.941003,440,1994,1994-03-31,90,5.04,143.1,79.0,234.6
Switzerland/Zofingen,47.291794,7.941003,440,1995,1995-04-19,109,3.41,76.4,71.0,385.1
Switzerland/Zofingen,47.291794,7.941003,440,1996,1996-04-25,116,2.1,41.2,89.0,130.8
Switzerland/Zofingen,47.291794,7.941003,440,1997,1997-04-07,97,4.26,115.8,84.0,136.2
Switzerland/Zofingen,47.291794,7.941003,440,1998,1998-04-16,106,4.29,101.7,79.0,167.0
Switzerland/Zofingen,47.291794,7.941003,440,1999,1999-04-24,114,2.91,67.1,86.0,325.5
