location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Switzerland/Zweisimmen,46.555264,7.373433,965,1958,1958-05-10,130,,,,
Switzerland/Zweisimmen,46.555264,7.373433,965,1970,1970-05-18,138,,,,
Switzerland/Zweisimmen,46.555264,7.373433,965,1971,1971-05-01,121,,,,
Switzerland/Zweisimmen,46.555264,7.373433,965,1972,1972-05-05,126,,,,
Switzerland/Zweisimmen,46.555264,7.373433,965,1973,1973-05-12,132,,,,
Switzerland/Zweisimmen,46.555264,7.373433,965,1974,1974-04-30,120,,,,
Switzerland/Zweisimmen,46.555264,7.373433,965,1975,1975-05-16,136,,,,
Switzerland/Zweisimmen,46.555264,7.373433,965,1976,1976-05-17,138,,,,
Switzerland/Zweisimmen,46.555264,7.373433,965,1977,1977-05-14,134,,,,
Switzerland/Zweisimmen,46.555264,7.373433,965,1978,1978-05-18,138,,,,
Switzerland/Zweisimmen,46.555264,7.373433,965,1979,1979-05-28,148,,,,
Switzerland/Zweisimmen,46.555264,7.373433,965,1980,1980-06-02,154,,,,
Switzerland/Zweisimmen,46.555264,7.373433,965,1981,1981-05-08,128,,,,
Switzerland/Zweisimmen,46.555264,7.373433,965,1982,1982-05-15,135,,,,
Switzerland/Zweisimmen,46.555264,7.373433,965,1983,1983-05-22,142,,,,
Switzerland/Zweisimmen,46.555264,7.373433,965,1984,1984-06-04,156,,,,
Switzerland/Zweisimmen,46.555264,7.373433,965,1985,1985-06-08,159,,,,
Switzerland/Zweisimmen,46.555264,7.373433,965,1986,1986-05-28,148,,,,
Switzerland/Zweisimmen,46.555264,7.373433,965,1987,1987-06-10,161,,,,
Switzerland/Zweisimmen,46.555264,7.373433,965,1988,1988-05-19,140,,,,
Switzerland/Zweisimmen,46.555264,7.373433,965,1989,1989-05-17,137,,,,
Switzerland/Zweisimmen,46.555264,7.373433,965,1990,1990-05-02,122,,,,
Switzerland/Zweisimmen,46.555264,7.373433,965,1991,1991-05-08,128,,,,
Switzerland/Zweisimmen,46.555264,7.373433,965,1992,1992-04-24,115,,,,
Switzerland/Zweisimmen,46.555264,7.373433,965,1993,1993-04-28,118,,,,
Switzerland/Zweisimmen,46.555264,7.373433,965,1994,1994-04-29,119,,,,
Switzerland/Zweisimmen,46.555264,7.373433,965,1995,1995-05-04,124,,,,
Switzerland/Zweisimmen,46.555264,7.373433,965,1996,1996-05-12,133,,,,
Switzerland/Zweisimmen,46.555264,7.373433,965,1997,1997-05-14,134,,,,
Switzerland/Zweisimmen,46.555264,7.373433,965,1998,1998-05-08,128,,,,
Switzerland/Zweisimmen,46.555264,7.373433,965,1999,1999-05-09,129,,,,
Switzerland/Zweisimmen,46.555264,7.373433,965,2000,2000-05-10,131,,,,
Switzerland/Zweisimmen,46.555264,7.373433,965,2001,2001-05-10,130,,,,
Switzerland/Zweisimmen,46.555264,7.373433,965,2002,2002-05-06,126,,,,
Switzerland/Zweisimmen,46.555264,7.373433,965,2003,2003-05-04,124,,,,
Switzerland/Zweisimmen,46.555264,7.373433,965,2004,2004-05-06,127,,,,
Switzerland/Zweisimmen,46.555264,7.373433,965,2005,2005-05-04,124,,,,
Switzerland/Zweisimmen,46.555264,7.373433,965,2006,2006-05-11,131,,,,
Switzerland/Zweisimmen,46.555264,7.373433,965,2007,2007-04-22,112,,,,
Switzerland/Zweisimmen,46.555264,7.373433,965,2008,2008-05-05,126,,,,
Switzerland/Zweisimmen,46.555264,7.373433,965,2009,2009-05-06,126,,,,
Switzerland/Zweisimmen,46.555264,7.373433,965,2010,2010-05-06,126,,,,
Switzerland/Zweisimmen,46.555264,7.373433,965,2011,2011-04-20,110,,,,
Switzerland/Zweisimmen,46.555264,7.373433,965,2012,2012-05-05,126,,,,
Switzerland/Zweisimmen,46.555264,7.373433,965,2013,2013-05-06,126,,,,
Switzerland/Zweisimmen,46.555264,7.373433,965,2014,2014-04-15,105,,,,
Switzerland/Zweisimmen,46.555264,7.373433,965,2015,2015-04-27,117,,,,
Switzerland/Zweisimmen,46.555264,7.373433,965,2016,2016-04-24,115,,,,
Switzerland/Zweisimmen,46.555264,7.373433,965,2017,2017-04-16,106,,,,
Switzerland/Zweisimmen,46.555264,7.373433,965,2018,2018-04-25,115,,,,
Switzerland/Zweisimmen,46.555264,7.373433,965,2019,2019-05-13,133,,,,
Switzerland/Zweisimmen,46.555264,7.373433,965,2020,2020-04-23,114,,,,
Switzerland/Zweisimmen,46.555264,7.373433,965,2021,2021-05-05,125,,,,
Switzerland/Zweisimmen,46.555264,7.373433,965,2022,2022-04-19,109,,,,
Switzerland/Zweisimmen,46.555264,7.373433,965,2023,2023-04-28,118,,,,
