location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Switzerland/Zürich-Albisgütli,47.350869,8.510678,530,1952,1952-04-15,106,,,,
Switzerland/Zürich-Albisgütli,47.350869,8.510678,530,1953,1953-04-24,114,,,,
Switzerland/Zürich-Albisgütli,47.350869,8.510678,530,1954,1954-05-01,121,,,,
Switzerland/Zürich-Albisgütli,47.350869,8.510678,530,1955,1955-05-02,122,,,,
Switzerland/Zürich-Albisgütli,47.350869,8.510678,530,1956,1956-05-02,123,,,,
Switzerland/Zürich-Albisgütli,47.350869,8.510678,530,1957,1957-03-30,89,,,,
Switzerland/Zürich-Albisgütli,47.350869,8.510678,530,1958,1958-05-05,125,,,,
Switzerland/Zürich-Albisgütli,47.350869,8.510678,530,1959,1959-04-10,100,,,,
Switzerland/Zürich-Albisgütli,47.350869,8.510678,530,1960,1960-04-15,106,,,,
Switzerland/Zürich-Albisgütli,47.350869,8.510678,530,1961,1961-04-08,98,,,,
Switzerland/Zürich-Albisgütli,47.350869,8.510678,530,1969,1969-05-05,125,,,,
Switzerland/Zürich-Albisgütli,47.350869,8.510678,530,1970,1970-05-07,127,,,,
Switzerland/Zürich-Albisgütli,47.350869,8.510678,530,1971,1971-04-21,111,,,,
Switzerland/Zürich-Albisgütli,47.350869,8.510678,530,1972,1972-04-06,97,,,,
Switzerland/Zürich-Albisgütli,47.350869,8.510678,530,1973,1973-05-04,124,,,,
Switzerland/Zürich-Albisgütli,47.350869,8.510678,530,1974,1974-04-01,91,,,,
Switzerland/Zürich-Albisgütli,47.350869,8.510678,530,1975,1975-05-04,124,,,,
Switzerland/Zürich-Albisgütli,47.350869,8.510678,530,1976,1976-04-19,110,,,,
Switzerland/Zürich-Albisgütli,47.350869,8.510678,530,1977,1977-04-05,95,,,,
Switzerland/Zürich-Albisgütli,47.350869,8.510678,530,1978,1978-04-28,118,,,,
Switzerland/Zürich-Albisgütli,47.350869,8.510678,530,1979,1979-05-07,127,,,,
Switzerland/Zürich-Albisgütli,47.350869,8.510678,530,1980,1980-04-30,121,,,,
Switzerland/Zürich-Albisgütli,47.350869,8.510678,530,1981,1981-04-13,103,,,,
Switzerland/Zürich-Albisgütli,47.350869,8.510678,530,1982,1982-05-02,122,,,,
Switzerland/Zürich-Albisgütli,47.350869,8.510678,530,1983,1983-04-24,114,,,,
Switzerland/Zürich-Albisgütli,47.350869,8.510678,530,1984,1984-05-02,123,,,,
Switzerland/Zürich-Albisgütli,47.350869,8.510678,530,1985,1985-04-22,112,,,,
Switzerland/Zürich-Albisgütli,47.350869,8.510678,530,1986,1986-05-04,124,,,,
Switzerland/Zürich-Albisgütli,47.350869,8.510678,530,1987,1987-04-27,117,,,,
Switzerland/Zürich-Albisgütli,47.350869,8.510678,530,1988,1988-04-25,116,,,,
Switzerland/Zürich-Albisgütli,47.350869,8.510678,530,1989,1989-04-07,97,,,,
Switzerland/Zürich-Albisgütli,47.350869,8.510678,530,1990,1990-03-24,83,,,,
Switzerland/Zürich-Albisgütli,47.350869,8.510678,530,1992,1992-05-14,135,,,,
Switzerland/Zürich-Albisgütli,47.350869,8.510678,530,1993,1993-04-23,113,,,,
Switzerland/Zürich-Albisgütli,47.350869,8.510678,530,1994,1994-04-15,105,,,,
Switzerland/Zürich-Albisgütli,47.350869,8.510678,530,1995,1995-04-07,97,,,,
Switzerland/Zürich-Albisgütli,47.350869,8.510678,530,1996,1996-04-22,113,,,,
Switzerland/Zürich-Albisgütli,47.350869,8.510678,530,1997,1997-04-04,94,,,,
Switzerland/Zürich-Albisgütli,47.350869,8.510678,530,1998,1998-04-08,98,,,,
Switzerland/Zürich-Albisgütli,47.350869,8.510678,530,1999,1999-04-20,110,,,,
Switzerland/Zürich-Albisgütli,47.350869,8.510678,530,2000,2000-04-09,100,,,,
Switzerland/Zürich-Albisgütli,47.350869,8.510678,530,2001,2001-04-07,97,,,,
Switzerland/Zürich-Albisgütli,47.350869,8.510678,530,2003,2003-04-13,103,,,,
Switzerland/Zürich-Albisgütli,47.350869,8.510678,530,2004,2004-04-14,105,,,,
Switzerland/Zürich-Albisgütli,47.350869,8.510678,530,2007,2007-04-18,108,,,,
Switzerland/Zürich-Albisgütli,47.350869,8.510678,530,2008,2008-04-07,98,,,,
Switzerland/Zürich-Albisgütli,47.350869,8.510678,530,2009,2009-04-10,100,,,,
Switzerland/Zürich-Albisgütli,47.350869,8.510678,530,2010,2010-04-17,107,,,,
Switzerland/Zürich-Albisgütli,47.350869,8.510678,530,2012,2012-04-25,116,,,,
Switzerland/Zürich-Albisgütli,47.350869,8.510678,530,2013,2013-04-23,113,,,,
Switzerland/Zürich-Albisgütli,47.350869,8.510678,530,2014,2014-04-14,104,,,,
Switzerland/Zürich-Albisgütli,47.350869,8.510678,530,2016,2016-04-04,95,,,,
Switzerland/Zürich-Albisgütli,47.350869,8.510678,530,2017,2017-04-02,92,,,,
Switzerland/Zürich-Albisgütli,47.350869,8.510678,530,2019,2019-04-06,96,,,,
Switzerland/Zürich-Albisgütli,47.350869,8.510678,530,2020,2020-04-04,95,,,,
Switzerland/Zürich-Albisgütli,47.350869,8.510678,530,2021,2021-04-03,93,,,,
Switzerland/Zürich-Albisgütli,47.350869,8.510678,530,2022,2022-03-30,89,,,,
Switzerland/Zürich-Albisgütli,47.350869,8.510678,530,2023,2023-04-09,99,,,,
