location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Switzerland/Zürich-MeteoSchweiz,47.378142,8.565853,555,1956,1956-04-29,120,,,,
Switzerland/Zürich-MeteoSchweiz,47.378142,8.565853,555,1957,1957-03-28,87,,,,
Switzerland/Zürich-MeteoSchweiz,47.378142,8.565853,555,1958,1958-04-27,117,,,,
Switzerland/Zürich-MeteoSchweiz,47.378142,8.565853,555,1959,1959-04-05,95,,,,
Switzerland/Zürich-MeteoSchweiz,47.378142,8.565853,555,1960,1960-04-07,98,,,,
Switzerland/Zürich-MeteoSchweiz,47.378142,8.565853,555,1961,1961-03-25,84,,,,
Switzerland/Zürich-MeteoSchweiz,47.378142,8.565853,555,1962,1962-04-23,113,,,,
Switzerland/Zürich-MeteoSchweiz,47.378142,8.565853,555,1963,1963-05-02,122,,,,
Switzerland/Zürich-MeteoSchweiz,47.378142,8.565853,555,1964,1964-04-19,110,,,,
Switzerland/Zürich-MeteoSchweiz,47.378142,8.565853,555,1966,1966-04-16,106,,,,
Switzerland/Zürich-MeteoSchweiz,47.378142,8.565853,555,1967,1967-04-16,106,,,,
Switzerland/Zürich-MeteoSchweiz,47.378142,8.565853,555,1968,1968-04-17,108,,,,
Switzerland/Zürich-MeteoSchweiz,47.378142,8.565853,555,1969,1969-04-27,117,,,,
Switzerland/Zürich-MeteoSchweiz,47.378142,8.565853,555,1970,1970-05-07,127,,,,
Switzerland/Zürich-MeteoSchweiz,47.378142,8.565853,555,1971,1971-04-20,110,,,,
Switzerland/Zürich-MeteoSchweiz,47.378142,8.565853,555,1972,1972-04-10,101,,,,
Switzerland/Zürich-MeteoSchweiz,47.378142,8.565853,555,1973,1973-04-30,120,,,,
Switzerland/Zürich-MeteoSchweiz,47.378142,8.565853,555,1974,1974-04-08,98,,,,
Switzerland/Zürich-MeteoSchweiz,47.378142,8.565853,555,1975,1975-04-29,119,,,,
Switzerland/Zürich-MeteoSchweiz,47.378142,8.565853,555,1976,1976-04-18,109,,,,
Switzerland/Zürich-MeteoSchweiz,47.378142,8.565853,555,1977,1977-04-04,94,,,,
Switzerland/Zürich-MeteoSchweiz,47.378142,8.565853,555,1978,1978-04-26,116,,,,
Switzerland/Zürich-MeteoSchweiz,47.378142,8.565853,555,1979,1979-04-29,119,,,,
Switzerland/Zürich-MeteoSchweiz,47.378142,8.565853,555,1980,1980-04-29,120,,,,
Switzerland/Zürich-MeteoSchweiz,47.378142,8.565853,555,1981,1981-04-09,99,,,,
Switzerland/Zürich-MeteoSchweiz,47.378142,8.565853,555,1982,1982-04-27,117,,,,
Switzerland/Zürich-MeteoSchweiz,47.378142,8.565853,555,1983,1983-04-20,110,,,,
Switzerland/Zürich-MeteoSchweiz,47.378142,8.565853,555,1984,1984-04-30,121,,,,
Switzerland/Zürich-MeteoSchweiz,47.378142,8.565853,555,1985,1985-04-22,112,,,,
Switzerland/Zürich-MeteoSchweiz,47.378142,8.565853,555,1986,1986-05-03,123,,,,
Switzerland/Zürich-MeteoSchweiz,47.378142,8.565853,555,1987,1987-04-26,116,,,,
Switzerland/Zürich-MeteoSchweiz,47.378142,8.565853,555,1988,1988-04-24,115,,,,
Switzerland/Zürich-MeteoSchweiz,47.378142,8.565853,555,1989,1989-04-02,92,,,,
Switzerland/Zürich-MeteoSchweiz,47.378142,8.565853,555,1990,1990-03-22,81,,,,
Switzerland/Zürich-MeteoSchweiz,47.378142,8.565853,555,1991,1991-04-12,102,,,,
Switzerland/Zürich-MeteoSchweiz,47.378142,8.565853,555,1992,1992-04-20,111,,,,
Switzerland/Zürich-MeteoSchweiz,47.378142,8.565853,555,1993,1993-04-20,110,,,,
Switzerland/Zürich-MeteoSchweiz,47.378142,8.565853,555,1994,1994-03-31,90,,,,
Switzerland/Zürich-MeteoSchweiz,47.378142,8.565853,555,1995,1995-04-13,103,,,,
Switzerland/Zürich-MeteoSchweiz,47.378142,8.565853,555,1996,1996-04-20,111,,,,
Switzerland/Zürich-MeteoSchweiz,47.378142,8.565853,555,1997,1997-03-31,90,,,,
Switzerland/Zürich-MeteoSchweiz,47.378142,8.565853,555,1998,1998-04-09,99,,,,
Switzerland/Zürich-MeteoSchweiz,47.378142,8.565853,555,1999,1999-04-10,100,,,,
Switzerland/Zürich-MeteoSchweiz,47.378142,8.565853,555,2000,2000-04-10,101,,,,
Switzerland/Zürich-MeteoSchweiz,47.378142,8.565853,555,2001,2001-04-07,97,,,,
Switzerland/Zürich-MeteoSchweiz,47.378142,8.565853,555,2002,2002-03-31,90,,,,
Switzerland/Zürich-MeteoSchweiz,47.378142,8.565853,555,2003,2003-04-14,104,,,,
Switzerland/Zürich-MeteoSchweiz,47.378142,8.565853,555,2004,2004-04-15,106,,,,
Switzerland/Zürich-MeteoSchweiz,47.378142,8.565853,555,2005,2005-04-10,100,,,,
Switzerland/Zürich-MeteoSchweiz,47.378142,8.565853,555,2006,2006-04-24,114,,,,
Switzerland/Zürich-MeteoSchweiz,47.378142,8.565853,555,2007,2007-04-08,98,,,,
Switzerland/Zürich-MeteoSchweiz,47.378142,8.565853,555,2008,2008-04-11,102,,,,
Switzerland/Zürich-MeteoSchweiz,47.378142,8.565853,555,2009,2009-04-11,101,,,,
Switzerland/Zürich-MeteoSchweiz,47.378142,8.565853,555,2010,2010-04-16,106,,,,
Switzerland/Zürich-MeteoSchweiz,47.378142,8.565853,555,2011,2011-04-05,95,,,,
Switzerland/Zürich-MeteoSchweiz,47.378142,8.565853,555,2012,2012-04-01,92,,,,
Switzerland/Zürich-MeteoSchweiz,47.378142,8.565853,555,2013,2013-04-24,114,,,,
Switzerland/Zürich-MeteoSchweiz,47.378142,8.565853,555,2014,2014-04-02,92,,,,
Switzerland/Zürich-MeteoSchweiz,47.378142,8.565853,555,2015,2015-04-14,104,,,,
Switzerland/Zürich-MeteoSchweiz,47.378142,8.565853,555,2016,2016-04-10,101,,,,
Switzerland/Zürich-MeteoSchweiz,47.378142,8.565853,555,2017,2017-04-03,93,,,,
Switzerland/Zürich-MeteoSchweiz,47.378142,8.565853,555,2018,2018-04-17,107,,,,
Switzerland/Zürich-MeteoSchweiz,47.378142,8.565853,555,2019,2019-04-05,95,,,,
Switzerland/Zürich-MeteoSchweiz,47.378142,8.565853,555,2020,2020-04-02,93,,,,
Switzerland/Zürich-MeteoSchweiz,47.378142,8.565853,555,2021,2021-04-08,98,,,,
Switzerland/Zürich-MeteoSchweiz,47.378142,8.565853,555,2022,2022-04-10,100,,,,
Switzerland/Zürich-MeteoSchweiz,47.378142,8.565853,555,2023,2023-04-10,100,,,,
