location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Switzerland/Zürich-Witikon,47.3591,8.590272,620,1966,1966-04-18,108,,,,
Switzerland/Zürich-Witikon,47.3591,8.590272,620,1967,1967-04-17,107,,,,
Switzerland/Zürich-Witikon,47.3591,8.590272,620,1968,1968-04-18,109,,,,
Switzerland/Zürich-Witikon,47.3591,8.590272,620,1969,1969-04-28,118,,,,
Switzerland/Zürich-Witikon,47.3591,8.590272,620,1970,1970-05-07,127,,,,
Switzerland/Zürich-Witikon,47.3591,8.590272,620,1971,1971-04-19,109,,,,
Switzerland/Zürich-Witikon,47.3591,8.590272,620,1972,1972-04-07,98,,,,
Switzerland/Zürich-Witikon,47.3591,8.590272,620,1973,1973-05-04,124,,,,
Switzerland/Zürich-Witikon,47.3591,8.590272,620,1974,1974-04-03,93,,,,
Switzerland/Zürich-Witikon,47.3591,8.590272,620,1975,1975-04-23,113,,,,
Switzerland/Zürich-Witikon,47.3591,8.590272,620,1976,1976-04-16,107,,,,
Switzerland/Zürich-Witikon,47.3591,8.590272,620,1977,1977-03-28,87,,,,
Switzerland/Zürich-Witikon,47.3591,8.590272,620,1978,1978-04-27,117,,,,
Switzerland/Zürich-Witikon,47.3591,8.590272,620,1979,1979-04-30,120,,,,
Switzerland/Zürich-Witikon,47.3591,8.590272,620,1980,1980-04-29,120,,,,
Switzerland/Zürich-Witikon,47.3591,8.590272,620,1981,1981-04-13,103,,,,
Switzerland/Zürich-Witikon,47.3591,8.590272,620,1982,1982-04-28,118,,,,
Switzerland/Zürich-Witikon,47.3591,8.590272,620,1983,1983-04-19,109,,,,
Switzerland/Zürich-Witikon,47.3591,8.590272,620,1984,1984-04-26,117,,,,
Switzerland/Zürich-Witikon,47.3591,8.590272,620,1985,1985-04-23,113,,,,
Switzerland/Zürich-Witikon,47.3591,8.590272,620,1986,1986-05-04,124,,,,
Switzerland/Zürich-Witikon,47.3591,8.590272,620,1987,1987-04-27,117,,,,
Switzerland/Zürich-Witikon,47.3591,8.590272,620,1988,1988-04-25,116,,,,
Switzerland/Zürich-Witikon,47.3591,8.590272,620,1989,1989-03-31,90,,,,
Switzerland/Zürich-Witikon,47.3591,8.590272,620,1990,1990-03-22,81,,,,
Switzerland/Zürich-Witikon,47.3591,8.590272,620,1991,1991-04-10,100,,,,
Switzerland/Zürich-Witikon,47.3591,8.590272,620,1992,1992-04-22,113,,,,
Switzerland/Zürich-Witikon,47.3591,8.590272,620,1993,1993-04-20,110,,,,
Switzerland/Zürich-Witikon,47.3591,8.590272,620,1994,1994-03-28,87,,,,
Switzerland/Zürich-Witikon,47.3591,8.590272,620,1995,1995-04-12,102,,,,
Switzerland/Zürich-Witikon,47.3591,8.590272,620,1996,1996-04-21,112,,,,
Switzerland/Zürich-Witikon,47.3591,8.590272,620,1997,1997-04-01,91,,,,
Switzerland/Zürich-Witikon,47.3591,8.590272,620,1998,1998-04-08,98,,,,
Switzerland/Zürich-Witikon,47.3591,8.590272,620,1999,1999-04-09,99,,,,
Switzerland/Zürich-Witikon,47.3591,8.590272,620,2000,2000-04-14,105,,,,
Switzerland/Zürich-Witikon,47.3591,8.590272,620,2001,2001-04-06,96,,,,
Switzerland/Zürich-Witikon,47.3591,8.590272,620,2002,2002-04-01,91,,,,
Switzerland/Zürich-Witikon,47.3591,8.590272,620,2003,2003-04-16,106,,,,
Switzerland/Zürich-Witikon,47.3591,8.590272,620,2004,2004-04-17,108,,,,
Switzerland/Zürich-Witikon,47.3591,8.590272,620,2005,2005-04-14,104,,,,
Switzerland/Zürich-Witikon,47.3591,8.590272,620,2008,2008-04-25,116,,,,
Switzerland/Zürich-Witikon,47.3591,8.590272,620,2009,2009-04-18,108,,,,
Switzerland/Zürich-Witikon,47.3591,8.590272,620,2010,2010-04-23,113,,,,
Switzerland/Zürich-Witikon,47.3591,8.590272,620,2011,2011-04-05,95,,,,
Switzerland/Zürich-Witikon,47.3591,8.590272,620,2012,2012-04-13,104,,,,
Switzerland/Zürich-Witikon,47.3591,8.590272,620,2013,2013-05-01,121,,,,
Switzerland/Zürich-Witikon,47.3591,8.590272,620,2014,2014-04-03,93,,,,
Switzerland/Zürich-Witikon,47.3591,8.590272,620,2015,2015-04-15,105,,,,
Switzerland/Zürich-Witikon,47.3591,8.590272,620,2016,2016-04-06,97,,,,
Switzerland/Zürich-Witikon,47.3591,8.590272,620,2017,2017-04-02,92,,,,
Switzerland/Zürich-Witikon,47.3591,8.590272,620,2018,2018-04-17,107,,,,
Switzerland/Zürich-Witikon,47.3591,8.590272,620,2019,2019-04-06,96,,,,
Switzerland/Zürich-Witikon,47.3591,8.590272,620,2020,2020-04-01,92,,,,
Switzerland/Zürich-Witikon,47.3591,8.590272,620,2021,2021-04-04,94,,,,
Switzerland/Zürich-Witikon,47.3591,8.590272,620,2022,2022-04-17,107,,,,
